f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,label,subset,r,r_diff,closest_centroid,x_pca,y_pca,x_mds,y_mds
2,60,166,133,77,6,7,3,13,11,1.0,training,0.3715,,1,,,11.14211708700796,-7.705976973293312
3,58,161,121,84,4,8,12,16,10,0.0,training,0.547,,0,,,7.043329783913762,6.596161351833723
3,60,142,122,61,5,7,17,18,10,0.0,training,0.3591666666666667,,0,,,-16.813719822778253,16.619437278549448
2,68,172,164,76,4,8,6,10,12,1.0,training,0.37383333333333335,,1,,,8.953588380809217,-41.954664191099106
3,68,145,116,78,4,7,12,16,10,0.0,training,0.4751666666666667,,0,,,-7.764668011853419,17.702927828480046
2,60,148,109,79,6,8,11,18,11,0.0,training,0.4023333333333333,,0,,,-3.2901089065603073,22.636823018414585
3,70,116,120,82,5,7,16,18,11,0.0,training,0.29583333333333334,,0,,,-41.75930709484995,18.756535275662674
2,45,160,152,85,5,9,16,16,11,0.0,training,0.41933333333333334,,0,,,-1.919677565637433,-23.975202306260528
2,52,139,151,98,4,8,14,17,13,0.0,training,0.4721666666666667,,0,,,-22.377554422793676,-20.840220462536337
2,65,171,165,65,5,7,4,10,13,1.0,training,0.2355,,1,,,5.342740848975077,-46.323068129689936
3,66,163,134,107,5,8,3,12,12,1.0,training,0.30233333333333334,,1,,,13.055038339897848,-15.866695674218947
2,48,137,132,91,4,9,14,14,11,0.0,training,0.502,,0,,,-19.990437186768894,0.3730981778814439
2,62,147,149,86,4,9,14,18,10,0.0,training,0.5596666666666666,,0,,,-12.917306380126226,-18.691384165153405
3,65,146,100,61,5,9,12,14,10,0.0,training,0.38183333333333336,,0,,,-1.4062008448241798,42.426301561732686
2,55,187,114,107,5,7,4,9,10,1.0,training,0.35233333333333333,,1,,,42.66330140031824,8.093249442069515
3,33,137,124,67,4,8,12,15,11,0.0,training,0.39266666666666666,,0,,,-27.11007555272008,15.085005893560899
2,64,146,139,92,6,8,15,17,10,0.0,training,0.5023333333333333,,0,,,-11.910029161893858,-9.883452931162857
2,35,136,108,74,6,9,17,18,11,0.0,training,0.3411666666666667,,0,,,-17.605033910353765,33.70298565011146
3,43,161,105,71,4,7,13,14,11,0.0,training,0.38083333333333336,,0,,,11.135716508378144,29.095664906659334
3,53,168,118,89,4,9,10,17,11,0.0,training,0.49166666666666664,,0,,,15.011702202484816,7.724364516193722
3,68,183,100,87,4,9,15,16,10,0.0,training,0.48633333333333334,,0,,,36.24326310636194,25.28283821302447
3,45,152,126,102,5,9,13,14,11,0.0,training,0.3973333333333333,,0,,,-2.9577662207439794,1.135722858302998
2,64,158,127,101,5,8,15,15,10,0.0,training,0.4715,,0,,,5.59558705607199,-1.7450457602034295
3,49,146,111,69,6,8,12,18,11,0.0,training,0.3735,,0,,,-6.503248223889765,24.765591468704738
3,62,168,170,105,4,7,3,9,12,1.0,training,0.24066666666666667,,1,,,5.220527525253702,-50.03058182969251
2,56,155,116,84,5,9,15,16,10,0.0,training,0.49016666666666664,,0,,,1.8526299690422732,12.949029447963271
2,34,136,128,91,6,7,16,15,13,0.0,training,0.29833333333333334,,0,,,-25.84278722560278,3.9683118422061674
3,70,148,123,65,4,9,13,17,12,0.0,training,0.4165,,0,,,-7.139877236696253,14.458383623171242
2,69,172,161,69,5,9,14,20,10,0.0,training,0.4003333333333333,,0,,,7.012103873513401,-41.01747364229439
2,70,135,129,82,4,7,19,16,11,0.0,training,0.4031666666666667,,0,,,-24.086546698349736,3.236209435139906
3,65,184,165,98,4,7,2,9,10,1.0,training,0.31133333333333335,,1,,,23.129806339227667,-45.49342423270127
3,33,145,120,67,6,9,12,12,10,1.0,training,0.403,,0,,,-11.1287741357305,25.6264375639133
2,34,103,106,88,6,8,12,18,13,0.0,training,0.304,,0,,,-50.687683103553766,37.95392352199671
3,56,142,131,65,6,9,9,19,13,0.0,training,0.3755,,0,,,-18.418015759965364,-0.25273778830521665
2,66,137,129,85,5,8,15,14,13,0.0,training,0.39716666666666667,,0,,,-19.763419780150763,3.0953306176744175
2,50,142,168,72,4,7,4,12,11,1.0,training,0.3525,,1,,,-24.032243486280713,-38.41323758329257
3,63,134,138,88,4,9,14,17,11,0.0,training,0.48783333333333334,,0,,,-24.28016524620445,-5.541929644108933
2,38,171,111,89,4,9,14,14,13,0.0,training,0.45,,0,,,21.91216735599928,18.622508840672783
2,69,162,141,98,6,7,6,11,13,1.0,training,0.32116666666666666,,1,,,7.100344179350127,-19.581797357962827
3,48,160,116,83,6,7,13,18,11,0.0,training,0.345,,0,,,6.656358729827792,12.605635436063523
2,66,124,166,92,5,9,16,17,12,0.0,training,0.3485,,0,,,-40.63991898722297,-32.67501155150587
2,47,145,101,84,5,9,13,14,13,0.0,training,0.38,,0,,,-4.955890871333143,32.11847733682045
3,65,172,125,85,5,8,11,16,10,0.0,training,0.4741666666666667,,0,,,18.6056772177752,-0.3677276372513504
