f0,f1,f2,f3,f4,f5,f6,f7,closest_centroid,a,neighbor,r
-0.0093,-3.2731,-0.035,1.7531,0.5099,-3.0159,-0.5925,2.4027,0.0,2.5133659681789293,1,47.0396
0.9633,-0.4005,-0.8706,1.8519,-0.476,-1.5678,2.7334,-1.1358,0.0,1.9679516076367318,1,59.0188
1.647,-0.4764,-2.5975,0.6499,-1.5612,0.5176,-0.5932,-1.3106,0.0,1.9034866140847944,1,57.6262
-0.8717,-2.0038,-0.8057,0.0652,0.2241,0.0719,-3.0002,-0.515,1.0,1.6749830327498858,0,70.603
-1.503,-2.1226,-0.8468,1.6924,-0.0021,0.4222,-1.9791,-0.0315,0.0,1.1853154263739245,1,107.1642
2.6471,3.2991,0.2818,-2.3343,1.4349,-0.2324,1.9858,2.0099,2.0,1.7168480305490044,1,46.3378
0.81,-0.7261,2.0844,-2.4453,-2.9512,-2.3577,0.7898,-3.42,1.0,2.250027719829248,0,10.594399999999998
-0.0569,-1.6929,-0.9765,0.4658,-0.4775,-1.0023,-0.7205,-2.5682,0.0,1.8809514799696456,1,58.8064
-1.8368,0.1998,2.0187,-0.2119,-0.7586,1.1081,-0.3159,0.6982,1.0,1.6081445954888516,0,165.0844
-1.0664,2.4229,2.0027,-1.5362,0.5651,2.379,-0.3079,2.5189,1.0,2.395191109285437,2,64.9397
2.0514,0.0663,-1.2337,-0.6597,1.0164,-1.1624,-0.2551,1.3454,2.0,0.8717539217003857,1,181.57659999999998
-0.1651,-1.6201,0.3658,-0.8891,-0.2845,-1.0188,-1.9532,-0.0778,1.0,1.8608769035054413,2,111.994
1.4026,0.7075,-1.899,2.8449,0.2933,-0.6384,3.708,-0.1662,0.0,3.4446040657817267,1,17.2757
-0.9452,0.3569,1.8106,1.1175,-1.6016,-1.2725,4.2468,-3.7816,3.0,1.7584646598666671,3,6.642399999999999
2.8053,-0.8196,-0.9899,0.7559,0.5288,-4.0666,3.0135,-0.253,0.0,4.016916669536475,1,12.138200000000001
-0.4325,-0.8449,0.5617,0.6152,-1.1401,-0.1603,-0.0823,0.697,3.0,0.9642937830350258,3,174.7822
-2.8354,1.7973,2.3785,-0.9271,1.0902,2.7747,-0.8131,1.1135,1.0,2.7316354295549736,2,52.2392
2.933,-0.5181,-2.6156,0.6842,0.3843,-1.4514,0.2507,1.5344,0.0,2.449972205964795,1,69.14189999999999
0.4531,1.1392,-0.6927,-1.0057,2.0116,0.2099,-0.2064,-0.6677,2.0,1.1327929113478772,3,148.4879
-1.0729,-0.2812,-0.1306,0.9442,3.5624,-0.284,-0.6649,2.6333,3.0,1.9965957928434077,3,29.904200000000003
-2.0634,-0.0111,1.3461,0.9354,-0.8189,0.8349,0.8857,-1.4222,3.0,0.6348395702852773,3,150.52229999999997
-1.1282,-2.7022,0.1592,1.0206,2.6524,-2.4271,-1.4653,1.5731,0.0,2.868602264169783,1,65.36449999999999
0.0904,-1.9703,-1.6928,1.8902,-0.0447,-0.7523,-0.665,-0.2038,0.0,1.852042861275084,1,109.02919999999999
2.4521,2.6997,1.9024,-3.3992,-1.3233,-0.5161,1.7464,1.1474,2.0,0.8583485073092467,1,8.8533
2.5307,0.8625,-1.444,-0.4292,0.0898,-0.9994,1.3734,-0.3156,2.0,0.8388462135576471,3,161.9393
0.3245,0.723,0.0098,-0.1294,1.0942,0.0737,0.2851,1.5123,2.0,0.9264240875538596,1,222.62269999999998
-3.3637,-2.704,2.3783,0.5336,0.7371,-1.7424,-0.9136,-1.9414,3.0,0.5341607997597739,3,34.7111
0.5071,-2.0253,0.4778,0.1028,1.1382,-3.169,-0.1624,1.4468,0.0,3.0027840481792896,1,85.55619999999999
-0.1247,-1.2668,0.2341,0.8271,1.5693,-1.7258,-0.0799,2.234,0.0,2.5718828569746317,1,137.2243
1.357,-1.346,-0.992,1.5008,-0.4513,-2.3711,1.6853,-0.3839,0.0,2.5285822450535402,1,69.81200000000001
4.2264,1.9813,-1.2285,-1.6969,0.4603,-2.0195,2.552,0.323,2.0,1.5004984271901118,3,44.375499999999995
4.7731,2.7987,-0.8156,-3.1631,0.0702,-1.3278,1.7281,1.3227,2.0,2.27103312833609,1,34.0428
-1.0347,-3.3682,-0.2013,1.9787,0.676,-2.1001,-1.2879,1.2406,0.0,2.4876143008915177,1,79.65339999999999
1.3225,0.9953,-1.0759,-1.033,1.2095,0.3003,-0.6142,0.7939,2.0,0.7443319353621753,1,193.80579999999998
2.4847,0.9079,-0.2643,-0.1509,2.1564,-3.5259,3.7907,-0.2218,2.0,1.7797402394731656,3,8.7056
1.7881,1.5536,0.9075,-1.8862,-0.7299,-0.9168,1.7229,-0.1967,2.0,1.1650226049309096,1,59.4107
-3.6588,-0.9291,1.8162,3.5637,1.3761,0.3649,1.5029,2.1288,3.0,1.4378716110974572,3,17.043
4.2411,1.6984,-4.1376,-0.5663,0.7563,0.0273,0.5919,-0.6501,2.0,1.7817093337578969,1,30.1501
1.4453,2.0493,-2.1722,0.5711,0.3802,1.4293,1.529,-1.0573,2.0,1.2668034969954876,1,88.1484
3.3219,0.4368,-3.3144,-0.3231,-0.0429,-0.2481,-0.2975,-0.2389,2.0,1.407429554187348,1,69.0482
0.6815,-0.7588,-1.6092,-0.0938,0.6636,-1.377,0.1401,-4.0542,0.0,2.7142616436150733,1,10.2416
-1.4158,-1.5734,3.3662,-1.5267,-2.2289,-1.8496,-0.1028,-1.8247,1.0,2.707826189030604,2,38.8847
-1.7932,2.4163,1.3521,1.5087,-2.0552,2.3176,4.0724,-3.4435,3.0,1.521130826063292,3,14.3393
1.4055,0.3433,-2.4886,2.8937,-2.0321,1.2785,1.8319,0.5704,0.0,2.9846973280384734,1,12.9789
0.3557,-1.2957,-1.0217,1.144,-0.7446,-0.9701,0.3421,-1.4758,0.0,1.3780912596776744,1,110.6309
-3.7265,-1.9883,1.3086,4.2391,-2.0577,0.7267,1.6635,-1.2732,3.0,3.6095417964057424,3,4.3776
0.1886,-0.3755,0.9145,-0.205,-2.4472,-0.4674,0.824,-1.1446,3.0,1.7252584907775415,3,83.52289999999999
-2.3585,0.8713,0.8526,0.8679,-0.7787,3.1212,-0.5071,0.3805,3.0,1.1941550946171096,3,42.235699999999994
-2.5776,-1.4656,1.5891,0.4111,0.228,0.1307,-1.4278,0.0561,1.0,1.8100599216600546,0,160.3862
-0.3064,0.4943,0.8333,0.0341,1.1271,-0.4475,0.8902,1.0433,3.0,0.8330062064594715,3,201.9852
2.7535,0.6536,-1.0556,1.2157,-1.7311,-1.1575,3.1901,1.0646,0.0,2.961182371958877,1,27.7176
-2.4077,-0.9276,-0.1434,2.3707,-0.375,0.9998,0.4322,-2.3929,3.0,0.5474052338076425,3,74.2082
0.9535,-0.0218,-0.5696,-1.1644,2.2712,-1.2383,-0.8527,0.6417,2.0,1.2991582351661404,1,149.80989999999997
-0.0158,3.8975,2.2147,-3.0886,1.0888,1.8643,0.909,0.9661,2.0,0.7576523081202873,1,21.9836
-1.4672,0.5841,4.7842,-2.7144,-0.776,-0.6734,0.0887,1.9151,1.0,3.4384111505170543,2,4.9514
-0.5192,1.6538,-0.3728,1.7222,-1.8872,2.6891,1.9046,-0.4428,3.0,0.6446064147989796,3,75.6464
-0.8947,-1.4964,-1.0276,0.6699,3.5322,-1.0011,-1.89,0.7334,0.0,1.6133782135630796,1,52.8657
-0.1009,4.2244,0.5269,-0.9683,2.0517,2.3056,2.3966,-0.1286,2.0,2.0920990894314735,1,5.6297999999999995
-1.5803,-2.3224,1.1689,1.9539,-1.7957,-1.6062,1.2132,-1.8945,3.0,1.6956796660926257,3,50.7906
-2.1611,-1.3089,1.3857,-0.4807,0.9897,-0.3813,-1.7099,-0.7987,1.0,1.9950167167219428,2,127.5221
-1.9228,-1.3294,-0.5927,0.6751,1.6145,0.733,-2.4377,-0.518,1.0,1.1863249428381757,0,77.31889999999999
4.2082,0.7817,-3.5448,0.1909,1.262,-2.0488,2.0131,-0.7849,2.0,1.8977028745301574,3,17.3526
-2.0126,-0.3635,0.2724,2.0229,-1.0139,0.9954,1.1862,-2.4026,3.0,0.44437140997142743,3,97.52059999999999
1.509,6.5021,-0.0675,-2.5909,-2.3414,5.5931,2.2223,-1.4051,2.0,3.6409498348645246,1,6.1704
-2.1074,-0.9342,0.2227,1.3562,-0.4596,1.5373,-1.3182,0.2719,3.0,0.6204204703263736,3,106.4998
-3.1889,-2.5306,-0.4176,1.3394,1.9538,0.6139,-3.3686,-0.8781,1.0,1.0977881808436423,0,30.955399999999997
-0.0416,2.9226,1.3552,-1.7788,-1.7647,2.7234,0.7335,-0.2457,1.0,0.7668525021149739,2,49.1191
2.1763,3.1699,0.7208,-1.3852,2.1953,-1.2651,3.6644,1.4095,2.0,3.0127446954562886,3,14.098799999999999
-1.1243,0.5798,2.0619,-0.2875,-0.7568,0.7073,0.4116,1.4846,3.0,0.6485776977355929,3,140.2485
-2.2206,0.0529,0.9988,0.0403,1.0075,1.4972,-1.4039,0.622,1.0,1.303940688835195,0,147.7604
0.4956,-2.4564,0.8119,0.3138,3.6515,-4.7895,0.0346,3.4801,0.0,4.2664916383370555,1,11.4374
1.9568,-0.4145,0.4341,0.6221,-1.4285,-2.743,3.0152,0.5669,0.0,3.2379358023283906,1,28.0526
-0.5966,2.2641,-0.827,1.6853,1.5141,1.6001,2.7945,-1.2889,3.0,2.117255284560649,3,11.930899999999998
-0.1263,-2.6717,-0.973,-0.633,-1.2107,-0.9456,-2.9103,-2.9581,0.0,0.9183899498578995,1,11.2765
0.0735,-1.1851,-0.6813,-0.3167,1.1715,-0.9297,-1.5567,-0.2155,0.0,0.5318209003038489,1,156.8824
3.5621,3.7712,-2.7475,-1.5975,0.584,1.1931,2.0581,-2.146,2.0,2.026585670530606,1,46.8371
-1.5895,-0.5725,-0.2258,2.3199,-1.0153,0.7022,1.3086,-2.3406,3.0,0.651070119111607,3,94.6243
-2.0612,-1.9239,-2.2593,3.7356,1.0469,1.0917,-0.9209,-1.0409,0.0,3.3806453969619468,1,13.4545
2.5054,4.4824,-1.3613,-2.3422,0.0857,2.6308,1.3356,-1.0075,2.0,2.806981686794554,1,52.6733
-1.5884,-2.4787,2.4592,-0.9157,-1.9723,-1.668,-1.3228,-1.4905,1.0,2.4159597761552245,2,60.02339999999999
-1.4691,-7.9913,-0.0542,-0.9624,-2.4361,-3.7683,-7.4197,-2.8349,1.0,6.188702600707192,0,0.0
-3.6996,-6.3906,-2.2687,4.3705,-0.9623,0.1091,-4.9224,-2.0001,0.0,5.512480399058122,1,2.9322999999999997
1.6049,3.0766,0.2767,-1.4531,1.8361,0.2898,1.9354,1.7946,2.0,1.453409519027588,1,49.616
-1.9342,-0.2985,1.4323,0.2124,-1.0123,0.7211,0.0038,-1.5367,3.0,1.1380455307236186,3,161.90140000000002
-0.0349,-2.9939,-0.499,-0.2222,-0.4675,-2.5129,-1.5731,-3.0253,0.0,1.3335954633996028,1,20.5598
2.8091,-0.0673,-1.973,-0.4676,1.6561,-1.7657,-0.1385,1.7999,2.0,1.9431534936797974,1,98.9774
2.2291,-0.8201,-0.5342,-1.2481,-0.3625,-1.6819,-1.0779,1.9592,0.0,0.2883351348691353,1,66.655
-1.3472,0.3707,-0.2335,0.44,3.4345,0.4505,-0.6318,0.765,1.0,1.7830976249213046,2,60.014199999999995
5.3571,2.4172,-1.7855,-3.1708,0.3152,-1.3264,0.7917,1.7799,2.0,2.247516831972565,1,25.5856
-0.9989,3.0031,1.131,-2.1751,-0.044,3.2128,-0.3889,-1.1864,1.0,0.34152169770016,2,22.309199999999997
-1.2317,1.2037,0.7545,-0.825,1.9261,2.3623,-2.2601,4.0128,1.0,3.7050319080947203,2,34.619899999999994
2.3642,0.6088,-0.6038,0.9051,-1.3872,-1.7281,3.6207,-0.4437,2.0,1.208883774396862,3,37.078700000000005
-3.0516,-1.8721,2.8887,0.4089,0.2054,-2.0521,0.8804,-3.1114,3.0,1.4007878104838056,3,17.3128
-2.4924,-0.1964,-0.0684,2.2329,-0.509,1.9174,0.4558,-1.9785,3.0,0.8205756576940396,3,68.424
4.553,1.8681,0.5121,-2.3672,-3.6082,-2.2842,3.8076,-0.9556,2.0,3.061861799624538,3,2.432
-2.2626,-1.6799,2.3523,0.6925,1.7104,-1.895,0.028,1.3838,3.0,0.872584345493314,3,77.1999
0.6687,0.3057,0.9605,-0.1754,-0.8533,-0.4075,0.788,2.333,3.0,1.7129418875139921,3,78.41399999999999
1.3611,0.4257,-1.3037,-0.7303,2.4495,-1.1771,0.0192,-0.297,2.0,1.2947616884971564,3,131.2052
-3.3701,-2.0502,-0.489,0.7794,3.9964,0.9799,-4.4276,0.8823,1.0,2.6179143110499274,0,8.3239
0.3326,1.9131,-0.1967,0.6086,-0.0914,1.0177,2.3302,-0.4655,2.0,1.0374456515885535,1,102.4776
-0.4387,0.2087,0.3306,2.2184,0.4295,-0.6635,2.8859,0.5931,3.0,0.8712734760108309,3,68.078
1.3593,-2.5199,2.4355,-3.4125,-2.1068,-4.2935,-1.3089,-1.0387,1.0,3.763736010933817,0,10.613399999999999
-3.1381,-2.3173,1.8031,0.8648,0.302,-0.884,-0.9364,-1.6888,3.0,0.7153515639180454,3,73.4767
3.1969,-0.262,-2.7319,-0.0622,0.882,-2.3955,1.079,-1.5277,0.0,2.886721973103747,1,29.197499999999998
1.5173,2.3814,-0.7084,1.0778,0.7016,0.1802,3.6431,0.9339,2.0,1.74322568533165,3,26.363400000000002
3.2646,4.065,-0.5979,-4.4079,-1.0057,2.3464,-0.6038,0.2177,2.0,3.8705065986250444,1,3.0852
1.4209,0.5202,-0.0163,-1.2094,-0.4928,-0.9685,0.7874,-1.068,2.0,0.805935078030481,1,126.87639999999999
-2.3767,-1.6837,-0.7028,0.6473,3.4421,1.1685,-4.3966,2.7263,1.0,3.333295403950871,2,11.3601
-0.3459,-0.1364,1.0687,-1.1274,0.2116,-0.291,-0.8428,0.578,1.0,0.8074484008281891,2,206.9697
-1.6966,0.5448,2.4731,0.0974,-0.3197,0.2106,1.3402,0.4122,3.0,0.8881957047858317,3,128.9015
2.1091,-1.8949,-2.5699,1.1701,0.8109,-2.4972,-0.1139,0.0523,0.0,2.6711053648255816,1,47.5172
-0.7159,-0.8228,0.6604,1.7063,1.053,-1.4003,1.4452,1.4137,3.0,0.6499118401752667,3,130.3887
-1.4846,0.9024,1.1674,-1.2098,1.6394,1.2262,-1.2759,0.6137,1.0,1.5385256416452726,2,135.54999999999998
2.9968,0.6462,-1.2241,0.3662,-2.2765,-0.6791,2.0731,0.8269,2.0,1.5708358061872674,3,43.195299999999996
0.6746,0.2961,-0.5261,-1.1329,1.8759,0.1998,-1.9014,2.6015,1.0,1.8639910085620048,2,75.0545
0.8393,1.6635,0.8529,-1.6003,-0.0569,0.8192,-0.0717,2.3646,1.0,1.5145937343063323,0,87.0515
1.0742,-1.7651,-1.3848,-1.7813,0.8875,-1.3364,-3.3837,-0.8137,1.0,2.5898655505643533,0,17.392599999999998
-0.1891,0.5447,0.5089,-0.9108,0.55,0.436,-0.6255,0.648,1.0,0.8569143831212086,2,231.91249999999997
0.5175,-2.0158,-2.8724,1.401,0.5623,-0.1591,-2.2314,-0.2041,0.0,1.647943202904759,1,60.5788
2.183,1.7132,-3.5125,1.58,3.4014,-1.0351,3.3583,-2.6386,2.0,3.8579568724909308,3,9.2
0.0133,-1.7212,-0.5147,2.0232,-1.8765,-0.5863,0.3921,0.3811,0.0,2.051910088186127,1,76.342
-4.2965,-3.3542,4.0707,2.3037,0.8225,-2.3507,0.1713,2.5627,3.0,1.3788196365007193,3,7.4024
