f0,f1,f2,f3,f4,f5,f6,f7,closest_centroid,a,neighbor,r
1.7613,2.5279,0.0655,-2.6613,-0.9677,1.396,0.0143,-0.1477,2.0,1.8037653228732387,3,15.8461
0.3036,2.3416,0.9817,-1.4122,-1.5678,1.7646,1.0846,-0.7114,2.0,1.9210831580126875,3,38.2436
2.4943,5.5523,-1.2073,-5.0652,-0.3606,4.1048,-0.6094,-3.3384,2.0,5.878072341337762,3,1.9184
1.0464,-0.7774,-0.9911,1.8953,-1.3476,-0.5009,1.0509,1.5859,0.0,3.079302739257704,1,170.0534
-0.8609,-1.0076,-0.017,-0.1564,1.181,-0.2053,-1.7334,0.2482,1.0,0.513811979229758,0,207.35330000000005
-1.4469,-1.0015,-0.4858,2.5531,-0.8894,0.1896,1.3428,-2.5784,3.0,0.9823793208328458,3,185.9925
1.9281,1.3423,-0.6361,-0.4867,-0.2678,-0.5449,1.913,-0.5551,2.0,0.8489947290766897,3,165.5976
2.3573,5.0136,0.0936,-4.4976,-2.5509,3.7907,0.2354,-2.0365,2.0,4.810920474295951,3,1.4388
-0.1565,2.8819,1.6955,-2.9048,1.5351,1.3243,-0.0338,0.5894,2.0,0.8723493623543332,1,10.177300000000002
-1.1584,0.4346,0.6435,1.4046,-1.409,0.7964,2.0227,-1.808,3.0,0.4528693409803836,3,183.41989999999998
-0.4502,2.1135,0.8447,-1.6621,1.6686,1.8148,-0.8505,1.8783,1.0,2.3800839586031417,2,23.6299
1.0313,1.7727,-0.4357,-0.6355,0.9699,0.5534,0.8582,0.7076,2.0,1.2418066838280422,3,140.52679999999998
-2.1638,-0.0995,1.466,-0.2172,0.234,1.2108,-1.1953,0.2642,1.0,0.8898850487562984,0,120.7952
0.722,-4.5966,-0.6273,0.777,-3.4079,-3.219,-1.535,-2.1996,0.0,2.4286769278765745,1,4.1025
-2.1324,0.4795,0.4468,-0.2818,2.2339,1.9759,-2.136,1.1714,1.0,2.4612560756654314,0,27.5055
1.8857,-0.5565,-2.4166,0.123,-1.0248,0.0036,-0.8936,-0.8354,0.0,1.131054145476687,1,167.69299999999998
1.6231,0.9468,-0.6236,0.0763,1.1974,-1.356,2.1405,0.149,2.0,1.065375140502161,3,117.0966
-2.3693,-1.1849,0.6038,-0.0356,1.9025,0.5107,-2.5817,0.2876,1.0,1.5735059834649516,0,67.9114
3.5176,1.6879,-1.9645,-0.8205,0.2995,-0.9833,1.9412,-0.3069,2.0,1.2890800750923104,3,143.8668
0.6124,-1.1167,-1.3911,0.6299,-0.4864,-0.3971,-0.7269,-0.6457,0.0,1.204887708460834,1,330.7957
-3.8459,-0.2553,2.3022,0.4537,0.4094,2.2381,-1.686,1.0353,1.0,2.398603975232261,0,31.8024
2.3103,-0.4926,-1.4668,-0.2532,0.4592,-1.914,0.3063,0.299,0.0,2.10106924207652,1,232.3332
