f0,f1,f2,f3,f4,f5,f6,f7,label,subset,r,r_diff,closest_centroid,x_pca,y_pca,x_mds,y_mds
-0.66074,1.1678,-0.01927,0.12375,0.21509,1.1481299999999999,-0.13054000000000002,0.81605,1.0,training,0.141,,1,-1.629750200027925,1.0583214426231764,,
-0.40965,-2.18555,-0.24283000000000002,0.322,-0.23874,1.26532,0.4427,-0.5000600000000001,1.0,training,0.0375,,1,-0.5415056813993195,1.4529067115518939,,
-1.22698,0.22773000000000002,-0.5684899999999999,-2.10462,0.53308,-1.10615,-1.44105,-2.09357,2.0,training,0.20366666666666666,,2,2.094905046616005,0.6276189160512358,,
1.1442,-0.7903,-0.0592,-1.67795,2.67424,-0.55503,1.36785,0.8418,0.0,training,0.060333333333333336,,1,-1.0399817785730923,-2.5571194291882895,,
-0.37098000000000003,1.44678,-0.8883700000000001,-0.8156,2.05713,0.22323,1.7793599999999998,1.34858,1.0,training,0.20183333333333334,,1,-2.6714323608942485,-1.6392514742712423,,
-0.6029899999999999,3.0227,-1.17551,-0.95189,0.67981,-1.2452299999999998,0.61012,-0.37961,2.0,training,0.13016666666666668,,0,-1.3935780996073528,-0.008017104715420123,,
0.45143999999999995,1.36439,-0.93091,0.04854,-0.62908,0.93275,0.8472700000000001,-1.19913,2.0,training,0.14983333333333335,,0,-1.1606966957384277,1.3443465453318684,,
-0.9403799999999999,-1.26642,-0.94819,-0.76167,1.52168,1.1689,1.4517200000000001,0.17719000000000001,0.0,training,0.12483333333333334,,1,-1.2120310230338376,-0.8100732122611368,,
-0.5434399999999999,0.61134,-0.04955,-0.2968,1.8633099999999998,-0.32018,0.99566,2.21277,1.0,training,0.13216666666666665,,1,-2.699115360434076,-0.9980640403101326,,
-1.39939,-0.3779,-1.61638,-1.1441700000000001,2.06393,-2.41365,2.10339,0.19135,0.0,training,0.052,,1,-1.7029872250276492,-1.589474369805009,,
-1.7567099999999998,0.94801,-0.88046,-2.75354,1.5479,-0.035480000000000005,-1.14009,-1.57586,2.0,training,0.21533333333333332,,2,1.7804368651043565,-0.5663155956180254,,
1.3614700000000002,3.61639,-1.64231,-1.84444,0.415,0.7500600000000001,1.09564,-2.4363900000000003,0.0,training,0.058666666666666666,,0,-0.19696174054961058,-0.5429782039300705,,
-0.64766,0.7882899999999999,-1.08922,-0.47193,1.6790200000000002,-0.50774,1.9839099999999998,1.05497,1.0,training,0.213,,1,-2.682963328994865,-1.1612497133489552,,
-1.16193,-0.30585,-1.18064,-1.40795,2.1048299999999998,0.29523,1.42265,0.20096,0.0,training,0.1965,,1,-1.1238505223713628,-1.5481533244648533,,
-0.9977,2.6301400000000004,-0.39904,-1.4399,0.21214,-0.90275,-1.42947,-1.03206,0.0,training,0.1305,,2,0.5773224058862864,1.004355552740702,,
-2.73418,0.7349399999999999,-1.82303,-0.7619199999999999,0.14162,-0.7125600000000001,0.35578000000000004,-1.4073799999999999,1.0,training,0.0695,,1,-0.31940590269139857,1.1083246646050557,,
1.40032,0.55355,-0.47123999999999994,-1.85723,1.63709,1.0176,0.87605,-0.74908,0.0,training,0.149,,0,-0.13213675143294554,-1.5564403611455608,,
-3.51309,1.19131,-0.7468600000000001,-1.54724,-0.36514,0.70787,-2.67519,-1.9919900000000001,1.0,training,0.041,,2,2.1718441682828065,2.410281531608717,,
-2.61623,0.17099,-0.64841,0.6189600000000001,-0.00472,-0.11141,0.10263,0.8549,1.0,training,0.127,,1,-1.9145375646997325,1.7347427666797652,,
-1.1526100000000001,-0.8216,-1.35048,-1.49033,0.61532,0.63532,0.38939,-2.04639,1.0,training,0.147,,2,0.8706667000578513,0.19404926302416317,,
-0.27126999999999996,2.75548,-0.8435,-1.71348,3.5397,0.63746,2.0185400000000002,2.42195,1.0,training,0.03916666666666667,,1,-3.224670206301556,-3.472286562072812,,
0.06451,2.58528,-0.02238,1.98405,-2.25406,-0.12525,-0.19150999999999999,0.19380999999999998,0.0,training,0.024,,0,-2.603897485440876,3.8297853809182882,,
