col_num,subset,density_in_train,density_in_unseen,d0_mark,density_diff,unseen_centroid,dist_train_d0,data_similarity,div_index
0,training,,,,,,,,
1,training,,,,,,,,
2,training,,,,,,,,
3,training,,,,,,,,
4,training,,,,,,,,
5,training,,,,,,,,
6,training,,,,,,,,
7,training,,,,,,,,
8,training,,,,,,,,
9,training,,,,,,,,
10,training,,,,,,,,
11,training,,,,,,,,
12,training,,,,,,,,
13,training,,,,,,,,
14,training,,,,,,,,
15,training,,,,,,,,
16,training,,,,,,,,
17,training,,,,,,,,
18,training,,,,,,,,
19,training,,,,,,,,
20,training,,,,,,,,
21,training,,,,,,,,
22,training,,,,,,,,
23,training,,,,,,,,
24,training,,,,,,,,
25,training,,,,,,,,
26,training,,,,,,,,
27,training,,,,,,,,
28,training,,,,,,,,
29,training,,,,,,,,
30,training,,,,,,,,
31,training,,,,,,,,
32,training,,,,,,,,
33,training,,,,,,,,
34,training,,,,,,,,
35,training,,,,,,,,
36,training,,,,,,,,
37,training,,,,,,,,
38,training,,,,,,,,
39,training,,,,,,,,
40,training,,,,,,,,
41,training,,,,,,,,
42,training,,,,,,,,
43,training,,,,,,,,
44,training,,,,,,,,
45,training,,,,,,,,
46,training,,,,,,,,
47,training,,,,,,,,
48,training,,,,,,,,
49,training,,,,,,,,
50,training,,,,,,,,
51,training,,,,,,,,
52,training,,,,,,,,
53,training,,,,,,,,
54,training,,,,,,,,
55,training,,,,,,,,
56,training,,,,,,,,
57,training,,,,,,,,
58,training,,,,,,,,
59,training,,,,,,,,
60,training,,,,,,,,
61,training,,,,,,,,
62,training,,,,,,,,
63,training,,,,,,,,
64,training,,,,,,,,
65,training,,,,,,,,
66,training,,,,,,,,
67,training,,,,,,,,
68,training,,,,,,,,
69,training,,,,,,,,
70,training,,,,,,,,
71,training,,,,,,,,
72,training,,,,,,,,
73,training,,,,,,,,
74,training,,,,,,,,
75,training,,,,,,,,
76,training,,,,,,,,
77,training,,,,,,,,
78,training,,,,,,,,
79,training,,,,,,,,
80,training,,,,,,,,
81,training,,,,,,,,
82,training,,,,,,,,
83,training,,,,,,,,
84,training,,,,,,,,
85,training,,,,,,,,
86,training,,,,,,,,
87,training,,,,,,,,
88,training,,,,,,,,
89,training,,,,,,,,
90,training,,,,,,,,
91,training,,,,,,,,
92,training,,,,,,,,
93,training,,,,,,,,
94,training,,,,,,,,
95,training,,,,,,,,
96,training,,,,,,,,
97,training,,,,,,,,
98,training,,,,,,,,
99,training,,,,,,,,
100,training,,,,,,,,
101,training,,,,,,,,
102,training,,,,,,,,
103,training,,,,,,,,
104,training,,,,,,,,
105,training,,,,,,,,
106,training,,,,,,,,
107,training,,,,,,,,
108,training,,,,,,,,
109,training,,,,,,,,
110,training,,,,,,,,
111,training,,,,,,,,
112,training,,,,,,,,
113,training,,,,,,,,
114,training,,,,,,,,
115,training,,,,,,,,
116,training,,,,,,,,
117,training,,,,,,,,
118,training,,,,,,,,
119,training,,,,,,,,
120,training,,,,,,,,
121,training,,,,,,,,
122,training,,,,,,,,
123,training,,,,,,,,
124,training,,,,,,,,
125,training,,,,,,,,
126,training,,,,,,,,
127,training,,,,,,,,
128,training,,,,,,,,
129,training,,,,,,,,
130,training,,,,,,,,
131,training,,,,,,,,
132,training,,,,,,,,
133,training,,,,,,,,
134,training,,,,,,,,
135,training,,,,,,,,
136,training,,,,,,,,
137,training,,,,,,,,
138,training,,,,,,,,
139,training,,,,,,,,
140,training,,,,,,,,
141,training,,,,,,,,
142,training,,,,,,,,
143,training,,,,,,,,
144,training,,,,,,,,
145,training,,,,,,,,
146,training,,,,,,,,
147,training,,,,,,,,
148,training,,,,,,,,
149,training,,,,,,,,
150,training,,,,,,,,
151,training,,,,,,,,
152,training,,,,,,,,
153,training,,,,,,,,
154,training,,,,,,,,
155,training,,,,,,,,
156,training,,,,,,,,
157,training,,,,,,,,
158,training,,,,,,,,
159,training,,,,,,,,
160,training,,,,,,,,
161,training,,,,,,,,
162,training,,,,,,,,
163,training,,,,,,,,
164,training,,,,,,,,
165,training,,,,,,,,
166,training,,,,,,,,
167,training,,,,,,,,
168,training,,,,,,,,
169,training,,,,,,,,
170,training,,,,,,,,
171,training,,,,,,,,
172,training,,,,,,,,
173,training,,,,,,,,
174,training,,,,,,,,
175,training,,,,,,,,
176,training,,,,,,,,
177,training,,,,,,,,
178,training,,,,,,,,
179,training,,,,,,,,
180,training,,,,,,,,
181,training,,,,,,,,
182,training,,,,,,,,
183,training,,,,,,,,
184,training,,,,,,,,
185,training,,,,,,,,
186,training,,,,,,,,
187,training,,,,,,,,
188,training,,,,,,,,
189,training,,,,,,,,
190,training,,,,,,,,
191,training,,,,,,,,
192,training,,,,,,,,
193,training,,,,,,,,
194,training,,,,,,,,
195,training,,,,,,,,
196,training,,,,,,,,
197,training,,,,,,,,
198,training,,,,,,,,
199,training,,,,,,,,
200,training,,,,,,,,
201,training,,,,,,,,
202,training,,,,,,,,
203,training,,,,,,,,
204,training,,,,,,,,
205,training,,,,,,,,
206,training,,,,,,,,
207,training,,,,,,,,
208,training,,,,,,,,
209,training,,,,,,,,
210,training,,,,,,,,
211,training,,,,,,,,
212,training,,,,,,,,
